big_ups_rpt.txt

This report shows that Mean-Reversion is comparatively weak
when stocks move sharply up.



dan@ub97hp_scikit ~/hr $ ./psql.bash -f big_ups_rpt.sql 
--
-- big_ups_rpt.sql
--
-- I use this script to study Mean-Reversion in the Stock Market.
-- Now I am ready to report.
\C 'Next day summary of stocks which upped 2% or more the day before:'
Title is "Next day summary of stocks which upped 2% or more the day before:".
SELECT 
tkr ticker
,COUNT(ydate) event_count
,MIN(ydate)   min_date
,MAX(ydate)   max_date
,ROUND(100*AVG(nlg1),3)    avg_day1_pct_up
,ROUND(100*AVG(ng),3)      avg_day1_pct_gain
FROM td12
WHERE nlg1 > 2.0/ 100.0
AND ydate > '2008-01-01'
AND ng IS NOT NULL
GROUP BY tkr ORDER BY AVG(ng)
;
          Next day summary of stocks which upped 2% or more the day before:
 ticker | event_count |  min_date  |  max_date  | avg_day1_pct_up | avg_day1_pct_gain 
 FDX    |         211 | 2008-01-10 | 2013-12-20 |           3.455 |            -0.052
 DTV    |         149 | 2008-01-23 | 2014-01-10 |           3.543 |            -0.052
 ETR    |          90 | 2008-01-07 | 2014-01-30 |           3.207 |            -0.052
 RGR    |         313 | 2008-01-07 | 2014-01-30 |           4.084 |            -0.048
 GRMN   |         244 | 2008-01-10 | 2014-01-30 |           3.767 |            -0.046
 FLT    |          76 | 2010-12-17 | 2014-01-30 |           3.547 |            -0.045
 GG     |         322 | 2008-01-02 | 2014-01-29 |           4.049 |            -0.045
 AUY    |         372 | 2008-01-02 | 2014-01-29 |           4.080 |            -0.043
 UNP    |         187 | 2008-01-23 | 2014-01-30 |           3.456 |            -0.042
 FSLR   |         379 | 2008-01-18 | 2014-01-30 |           4.794 |            -0.041
 POWI   |         254 | 2008-01-22 | 2014-01-30 |           3.850 |            -0.039
 SBUX   |         225 | 2008-01-08 | 2014-01-24 |           3.755 |            -0.038
 NWSA   |          12 | 2013-06-21 | 2013-12-20 |           2.983 |            -0.034
 ALXN   |         258 | 2008-01-03 | 2014-01-30 |           3.598 |            -0.033
 ENH    |         140 | 2008-01-07 | 2013-10-16 |           3.414 |            -0.032
 TWX    |         178 | 2008-02-01 | 2013-12-18 |           3.819 |            -0.031
 SPWR   |         436 | 2008-01-03 | 2014-01-28 |           5.200 |            -0.030
